Model,Label,Rebalancing,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1
GBDT,Country,Oversample,0.372,0.402,0.372,0.38
GBDT,Country,None,0.349,0.383,0.349,0.355
GBDT,Region,Oversample,0.419,0.44,0.419,0.412
GBDT,Region,None,0.423,0.466,0.423,0.432
RF,Country,Oversample,0.356,0.412,0.356,0.364
RF,Country,None,0.351,0.458,0.351,0.36
RF,Region,Oversample,0.546,0.513,0.546,0.521
RF,Region,None,0.536,0.562,0.536,0.542
LinearSVC,Country,Oversample,0.325,0.351,0.325,0.326
LinearSVC,Country,None,0.326,0.318,0.326,0.317
LinearSVC,Region,Oversample,0.37,0.363,0.37,0.363
LinearSVC,Region,None,0.393,0.414,0.393,0.398
